path,sha256,purpose,source_category,upstream_present,user_modified_or_added,upstream_counterpart,reference,release_status,rtx5090_compatibility,applicable_license,dataset,audit_condition,split_role,shared_infrastructure,included
code/setup.py,dd95fdc5bb866b7c1976b205c01136c1bd291ddd61ee9947ef5c21d0ee87ff72,Python package metadata and install requirements,Upstream unchanged,yes,no,setup.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
environment.yml,d08e52bbf248c607e7c0fb12e3a8632f7f30f5149920ca70fd40a37d0a99f267,Minimal Conda environment declaration for the validated runtime,Generated environment specification,no,no; release-created from validated environment,none; upstream legacy environment not used,validated local sdseg Conda environment,release-created,yes; validated cu128 environment,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
gpu_preflight.py,a31d67f2d1bb15b447a444bf52296aed3f9882429ab3e95813c7fba93f92a7c9,Public RTX 5090 CUDA matrix-multiply/backward preflight,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,yes; strict CUDA/RTX 5090 runtime contract,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
requirements.txt,f786285d8f0af18c7f68c7186adb2c35780232a36534e3a9e5c750b83a2b5ce3,Pinned direct runtime dependencies from the validated environment,Generated environment specification,no,no; release-created from validated environment,none; upstream legacy environment not used,validated local sdseg Conda environment,release-created,yes; validated cu128 environment,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
tests/build_source_inventory.py,7ff5ef28914dc362c70532c3959d9c79fbb9a33d7f90aabc24690de330b9e6eb,Deterministic provenance CSV and code-structure table generator,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
tests/gpu_smoke_12.py,e8829a335988aa8e850812017693c89bcc8ce239b3b1b7aa761e0bfd477daae8,Twelve-cell CUDA train/validation/checkpoint/test smoke harness,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,yes; strict CUDA/RTX 5090 runtime contract,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; checkpoint reload; test,yes,yes
tests/release_audit.py,862153ca5bcc833e5702a37e0e28fe5bf9c6682636e7f39c941bfa898322e4bd,"Fail-closed public-tree artifact, path, secret, attribution, and wording audit",Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,not split-specific,yes,yes
tests/test_acdc_multiclass.py,eba5276f67f0d9e3d1d96d1fefb62c78b97d736108e0775ac04028467532a660,"ACDC class mapping, label-map, and metric-path tests",Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,ACDC,not condition-specific,not split-specific,no,yes
tests/test_audit_contracts.py,77595ee2222dbc045563a05f2e146b4bb9b440629c0381d813287ab3f307d266,Static and tensor-level invariants for all retained audit modes,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,not split-specific,yes,yes
tests/test_isic2018_binary.py,4447604977c59cd1e01790047d065198156643635702a88a72434851ae5f01b1,ISIC2018 binary label and split contract tests,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,ISIC2018,not condition-specific,not split-specific,no,yes
tests/test_release_configs.py,15ae5017a8f7dc73ddb93ab7cc88305a6985487fee13e7353a7e46e0d875e9ad,"Config, split role, inference entry, and runtime contract tests",Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,not condition-specific,not split-specific,yes,yes
tests/test_split_manifests.py,df4dda09f28d2c2e6b45d205f8f662dc4caecc84d3fedaef4fe4b008ef52845f,Fixed-manifest disjointness and count tests,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
tests/test_train_random_yt_audit.py,f3e6a8e422a90f70e9da12aebf2f0bf861836cef04c55a7dbef6e098ae2e6549,Focused random-Y_t target/input contract tests,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,not split-specific,yes,yes
tests/validate_splits.py,ea85134ada626a0e0fbea2e2a84b05795a5b9b23a97b5133f6037e81f5a1de6b,"Manifest disjointness, ownership, pairing, leakage, and real-cache count validator",Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,not condition-specific,split construction/validation,yes,yes
